Startdatum;Enddatum;Portfolioname;Währung;Kampagnen-Name;Anzeigengruppenname;Ausrichtung;Übereinstimmungstyp;Suchbegriff des Kunden;Impressionen;Klicks;Klickrate (CTR);Kosten pro Klick (CPC);Ausgaben;7 Tage, Umsatz gesamt (€);Gesamtumsatzkosten für Werbung (ACOS) ;Gesamtrendite von Werbeausgaben (Return on Advertising Spend, ROAS);7 Tage, Aufträge gesamt (#);7 Tage, Einheiten gesamt (#);7-Tage-Konversionsrate;7 Tage, Beworbene SKU-Einheiten (#);7-Tage, Andere SKU-Einheiten (#);7 Tage, Beworbene SKU-Umsätze (€);7-Tage, Andere SKU-Umsätze (€)
Mrz 31, 2023;Mai 29, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group EXACT Match;badewanne brett ablage;EXACT;badewanne brett ablage;11842;68;0,5742%;€0,37;€24,87;€90,74;27,4080%;3,65;2;2;2,9412%;0;2;€0,00;€90,74
Mai 14, 2023;Mai 14, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewanne brett ablage;BROAD;badewanne brett ablage;7;1;14,2857%;€0,23;€0,23;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 28, 2023;Mai 01, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;messerschärfer diamant profi;BROAD;diamant messerschärfer profi;6;2;33,3333%;€0,56;€1,11;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 09, 2023;Mai 14, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;messerschärfer diamant profi;BROAD;messerschärfer profi diamant;7;2;28,5714%;€0,56;€1,11;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 08, 2023;Mai 15, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer diamant profi;PHRASE;messerschärfer diamant profi;6;2;33,3333%;€0,75;€1,49;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Mai 22, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;messerschärfer diamant profi;EXACT;messerschärfer diamant profi;25;6;24,0000%;€0,57;€3,41;€21,00;16,2381%;6,16;1;1;16,6667%;1;0;€21,00;€0,00
Mrz 29, 2023;Mrz 29, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group EXACT Match;brett badewanne holz;EXACT;brett badewanne holz;9;1;11,1111%;€0,21;€0,21;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 10, 2023;Mai 23, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group EXACT Match;laptoptasche 15.6 zoll leder;EXACT;laptoptasche 15.6 zoll leder;202;5;2,4752%;€1,08;€5,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 17, 2023;Mai 17, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group PHRASE Match;laptoptasche 15.6 zoll leder;PHRASE;laptoptasche 15.6 zoll leder damen;23;1;4,3478%;€1,02;€1,02;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 06, 2023;Mai 11, 2023;Not grouped;EUR;Lutopic_Messerschaerfer - Perpetua - SP - Manual - iygygqs1;Ad Group EXACT Match;messerschärfer für alle messer;EXACT;messerschärfer für alle messer;51;2;3,9216%;€0,55;€1,09;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 21, 2023;Apr 21, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;lansky messerschärfer set;PHRASE;lansky messerschärfer set;24;1;4,1667%;€0,24;€0,24;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 08, 2023;Mai 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;lansky messerschärfer set;EXACT;lansky messerschärfer set;1189;9;0,7569%;€0,28;€2,50;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 25, 2023;Mai 25, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewanne tablett;97;2;2,0619%;€0,48;€0,95;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 11, 2023;Apr 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewanne tablett kunststoff;5;1;20,0000%;€0,43;€0,43;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 04, 2023;Mai 04, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewanne+tablett saugnapf;1;1;100,0000%;€0,33;€0,33;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 01, 2023;Mai 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewannen tablett;13;1;7,6923%;€0,33;€0,33;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 14, 2023;Mai 14, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewannen tablett glas;2;1;50,0000%;€0,12;€0,12;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 24, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewannen tablett grau;25;1;4,0000%;€0,33;€0,33;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 16, 2023;Apr 16, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewannen tablett holz;5;1;20,0000%;€0,29;€0,29;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 14, 2023;Mai 14, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewannen tablett schwarz;42;1;2,3810%;€0,36;€0,36;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 10, 2023;Apr 10, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne tablett;PHRASE;badewannen tablett weiss;28;1;3,5714%;€0,43;€0,43;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
