Startdatum;Enddatum;Portfolioname;Währung;Kampagnen-Name;Anzeigengruppenname;Ausrichtung;Übereinstimmungstyp;Suchbegriff des Kunden;Impressionen;Klicks;Klickrate (CTR);Kosten pro Klick (CPC);Ausgaben;7 Tage, Umsatz gesamt (€);Gesamtumsatzkosten für Werbung (ACOS) ;Gesamtrendite von Werbeausgaben (Return on Advertising Spend, ROAS);7 Tage, Aufträge gesamt (#);7 Tage, Einheiten gesamt (#);7-Tage-Konversionsrate;7 Tage, Beworbene SKU-Einheiten (#);7-Tage, Andere SKU-Einheiten (#);7 Tage, Beworbene SKU-Umsätze (€);7-Tage, Andere SKU-Umsätze (€)
Apr 07, 2023;Apr 07, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro hülle;1;1;100,0000%;€0,28;€0,28;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 31, 2023;Mrz 31, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle 14 zoll;3;1;33,3333%;€0,34;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle 33x24;2;1;50,0000%;€0,34;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle mac book air m1;2;1;50,0000%;€0,15;€0,15;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 27, 2023;Mai 27, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;laptop hull;PHRASE;tasche echtleder laptop hülle;2;1;50,0000%;€0,29;€0,29;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 12, 2023;Mai 12, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;laptop tasch;PHRASE;laptop tasche 13 zoll;1;1;100,0000%;€0,34;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;laptop tasch;PHRASE;laptop tasche 13+ zoll;4;1;25,0000%;€0,34;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 19, 2023;Apr 19, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;macbook pro 14;PHRASE;macbook pro 14 tasche;3;1;33,3333%;€0,21;€0,21;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 03, 2023;Apr 03, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;macbook tasche;PHRASE;macbook tasche;52;1;1,9231%;€0,57;€0,57;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 07, 2023;Mai 11, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;macbook tasche;PHRASE;macbook tasche 13 zoll;79;4;5,0633%;€0,51;€2,05;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 01, 2023;Mai 12, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;macbook tasche;PHRASE;macbook tasche 13,6 zoll;20;2;10,0000%;€0,40;€0,79;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 31, 2023;Mai 21, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;macbook pro 14 hull;PHRASE;macbook pro 14 hülle;1772;9;0,5079%;€0,57;€5,13;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 15, 2023;Mai 15, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group PHRASE Match;laptoptasche 13 zoll;PHRASE;laptoptasche 13 zoll;1;1;100,0000%;€0,34;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 30, 2023;Apr 30, 2023;Not grouped;EUR;Taskha | Leder | Pink - Perpetua - SP - Manual - ss68pq8p;Ad Group BROAD Match;macbook tasche;BROAD;macbook kabel tasche;2;1;50,0000%;€0,15;€0,15;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 10, 2023;Apr 11, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptop hull;EXACT;laptop hülle;47;2;4,2553%;€0,67;€1,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 05, 2023;Mai 30, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptophülle;EXACT;laptophülle;111;5;4,5045%;€0,56;€2,82;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 21, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptop tasch;EXACT;laptop tasche;148;2;1,3514%;€0,44;€0,88;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Jun 01, 2023;Jun 01, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptop tasch;EXACT;laptop-taschen;12;1;8,3333%;€0,52;€0,52;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Mai 28, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptoptasche;EXACT;laptoptasche;8979;14;0,1559%;€0,76;€10,64;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mai 30, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptop sleeve;EXACT;laptop sleeve;208;4;1,9231%;€0,73;€2,90;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptop sleeve;EXACT;laptop-sleeve;3;1;33,3333%;€0,77;€0,77;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Apr 09, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;macbook pro 16;EXACT;macbook pro 16;250;3;1,2000%;€0,51;€1,52;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Mai 31, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;macbook tasche;EXACT;macbook tasche;39;3;7,6923%;€0,58;€1,75;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 09, 2023;Apr 25, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptop zubehör;EXACT;laptop zubehör;206;3;1,4563%;€0,61;€1,84;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 02, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptoptasche leder;EXACT;laptoptasche leder;4;1;25,0000%;€0,38;€0,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 04, 2023;Apr 04, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;macbook pro 16 zoll;EXACT;macbook pro 16 zoll;21;1;4,7619%;€0,64;€0,64;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 24, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptophülle 16 zoll;EXACT;laptophülle 16 zoll;29;1;3,4483%;€0,62;€0,62;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 17, 2023;Mai 17, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptophülle 15 zoll;EXACT;laptophülle 15+ zoll;2;1;50,0000%;€0,67;€0,67;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Mai 02, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;16 zoll laptoptasche;EXACT;16 zoll laptoptasche;88;3;3,4091%;€0,72;€2,16;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 23, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptoptasche 15 zoll;EXACT;laptoptasche 15 zoll;73;2;2,7397%;€0,64;€1,27;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 04, 2023;Apr 07, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;macbook 16 zoll hülle;EXACT;macbook 16 zoll hülle;4;2;50,0000%;€0,60;€1,19;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 18, 2023;Apr 19, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;macbook pro 16 tasche;EXACT;macbook pro 16 tasche;179;2;1,1173%;€0,75;€1,50;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Jun 01, 2023;Jun 01, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;macbook pro tasche leder;EXACT;macbook pro tasche leder;74;1;1,3514%;€0,98;€0,98;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 05, 2023;Mai 31, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;macbook pro 15 zoll hülle;EXACT;macbook pro 15 zoll hülle;178;4;2,2472%;€0,76;€3,02;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 08, 2023;Mai 08, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;apple macbook pro hülle 14 zoll leder magnetisch;2;1;50,0000%;€0,61;€0,61;€121,83;0,5007%;199,72;2;2;200,0000%;1;1;€67,22;€54,61
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;case compatible with macbook pro 15 inch;2;1;50,0000%;€0,11;€0,11;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 07, 2023;Apr 07, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;green leather sleeve macbook pro 13;3;1;33,3333%;€0,38;€0,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 04, 2023;Apr 04, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;laptophoes macbook pro 15;1;1;100,0000%;€0,47;€0,47;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Apr 01, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;lederhülle macbook pro;8;2;25,0000%;€0,59;€1,18;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 28, 2023;Apr 28, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;ledermappe macbook pro 14 zoll;2;1;50,0000%;€0,13;€0,13;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 10, 2023;Mai 16, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14;8;2;25,0000%;€0,70;€1,39;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mai 12, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14 hülle;78;4;5,1282%;€0,58;€2,32;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 08, 2023;Mai 26, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14 hülle leder;6;3;50,0000%;€0,50;€1,51;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 17, 2023;Mai 17, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14 leather sleeve;2;1;50,0000%;€0,37;€0,37;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 07, 2023;Apr 07, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14 lederhülle;1;1;100,0000%;€0,28;€0,28;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14 m1 tastatur abdeckung us layout;1;1;100,0000%;€0,69;€0,69;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 20, 2023;Apr 20, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14 tasche;1;1;100,0000%;€0,62;€0,62;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 20, 2023;Apr 20, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14 zoll tasche;7;1;14,2857%;€0,45;€0,45;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 12, 2023;Mai 12, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 14 zubehör;2;1;50,0000%;€0,70;€0,70;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 15 zubehör;5;1;20,0000%;€0,57;€0,57;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 20, 2023;Apr 20, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 16 bag;2;1;50,0000%;€0,65;€0,65;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 14, 2023;Mai 14, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 2017 i7;2;1;50,0000%;€0,32;€0,32;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 16, 2023;Mai 16, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 2018 15 zoll tasche;1;1;100,0000%;€0,73;€0,73;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 14, 2023;Mai 14, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 2022 16 zoll huelle;2;1;50,0000%;€0,76;€0,76;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 02, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro 2023 16 zoll koffer;4;1;25,0000%;€0,48;€0,48;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 14, 2023;Mai 14, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro lederhuelle;10;1;10,0000%;€0,76;€0,76;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 02, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro ledertasche;2;1;50,0000%;€0,45;€0,45;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 05, 2023;Apr 05, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro m2 13 zoll 2022 tasche;2;1;50,0000%;€0,51;€0,51;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mrz 30, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro m2 14 sleeve leder;2;1;50,0000%;€0,57;€0,57;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 14, 2023;Mai 14, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro m2 14 zoll hülle;1;1;100,0000%;€0,73;€0,73;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 02, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro m2 max;3;1;33,3333%;€0,48;€0,48;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro schutzcase;2;1;50,0000%;€0,32;€0,32;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 16, 2023;Mai 16, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;macbook pro tasche;3;1;33,3333%;€0,69;€0,69;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mrz 29, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;nomad macbook pro 16;2;1;50,0000%;€0,57;€0,57;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 27, 2023;Mai 27, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;puffy macbook pro sleeve;2;1;50,0000%;€0,70;€0,70;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 19, 2023;Apr 19, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;slim protective sleeve macbook pro 2019;2;1;50,0000%;€0,38;€0,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 15, 2023;Mai 15, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;macbook pro;PHRASE;tasche macbook pro 14 zoll twelve south bookbook;2;1;50,0000%;€0,62;€0,62;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 07, 2023;Mai 07, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;grüne leder laptop hülle 13,3 zoll;5;1;20,0000%;€0,76;€0,76;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 25, 2023;Apr 25, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;hp laptop hülle;6;1;16,6667%;€0,86;€0,86;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 23, 2023;Apr 23, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle;214;1;0,4673%;€0,87;€0,87;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 24, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle 13 3 zoll;20;1;5,0000%;€0,87;€0,87;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 25, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle 14 zoll;265;2;0,7547%;€0,67;€1,33;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 23, 2023;Mai 23, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle 15 6zoll;7;1;14,2857%;€0,60;€0,60;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle 15,6 zoll;5;1;20,0000%;€0,76;€0,76;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 10, 2023;Mai 10, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle 15.6zoll leder;3;1;33,3333%;€0,77;€0,77;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 08, 2023;Apr 08, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle 16,1 zoll;2;1;50,0000%;€0,74;€0,74;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 24, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle hardcase;3;1;33,3333%;€0,87;€0,87;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 07, 2023;Apr 07, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle leder;16;1;6,2500%;€0,74;€0,74;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle leder schwarz;1;1;100,0000%;€0,30;€0,30;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 12, 2023;Apr 12, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle macbook pro 14 leder;2;1;50,0000%;€0,17;€0,17;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 24, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle mitternachgrün;3;1;33,3333%;€0,47;€0,47;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 23, 2023;Apr 23, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop hülle von joop;1;1;100,0000%;€0,68;€0,68;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hull;PHRASE;laptop-hüllen;31;2;6,4516%;€0,64;€1,28;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
